case_id,metric_version,text_top,text_bottom,character_count,max_kanji_stroke_count,dense_kanji_count,unknown_kanji_count,main_color,font_family,font_weight,width_percent,letter_spacing,line_spacing,line_size_balance,width_fit_enabled,stroke_mode,inner_enabled,inner_color,inner_width,outer_enabled,outer_color,outer_width,total_score,total_band,displayed_apca_lc,contrast_band,contrast_fit_score,scalability_score,scalability_band,local_text_lc,background_separation_lc,fill_on_light_lc,fill_on_dark_lc,needs_local_contrast_support,current_inner_stroke_works,recommend_inner_stroke,unnecessary_inner_stroke_risk,inner_effective,outer_effective,color_family,oklch_lightness,oklch_chroma,oklch_hue,penalty_empty_text,penalty_character_count,penalty_font_weight,penalty_kanji_complexity,penalty_unknown_kanji,penalty_inner_stroke,penalty_outer_stroke,penalty_unnecessary_inner_stroke,penalty_width_transform,penalty_dense_width_interaction,penalty_letter_spacing,penalty_line_spacing,penalty_line_balance,penalty_aspect_ratio,penalty_total,dominant_penalties,core_aspect_ratio,full_aspect_ratio,effective_top_width_scale,effective_bottom_width_scale,width_transform_risk,letter_spacing_risk,line_spacing_risk,line_balance_risk,aspect_ratio_risk,feedback_tip_ja
case-0001,metric-rules-v1.3.0,OK,,2,0,0,0,#FFFFFF,"'LINE Seed JP', sans-serif",300,60,0,-50,0,false,none,false,#000000,4,false,#FFFFFF,10,38,improve,0,critical,20,75,acceptable,0,0,0,106,false,false,false,false,false,false,white,1,0,90,0,0,14,0,0,0,0,0,11,0,0,0,0,0,25,fontWeight|widthTransform,0.86,0.86,0.6,0,0.89,0,0,0,0,塗りと線の差が弱いので、塗り色か内側線のどちらかを十分に離すと文字形が読み取りやすくなります。
case-0002,metric-rules-v1.3.0,OK,,2,0,0,0,#FFFFFF,"'LINE Seed JP', sans-serif",300,60,0,-50,0,false,inner-4,true,#000000,4,false,#FFFFFF,10,79,adjust,108,good,100,75,acceptable,108,108,0,106,false,true,false,false,true,false,white,1,0,90,0,0,14,0,0,0,0,0,11,0,0,0,0,0,25,fontWeight|widthTransform,0.86,0.87,0.6,0,0.89,0,0,0,0,文字線が細く、小サイズで欠けやすいです。フォントの太さを600〜700付近へ上げて主要な画を残してください。
case-0003,metric-rules-v1.3.0,OK,,2,0,0,0,#FFFFFF,"'LINE Seed JP', sans-serif",300,60,0,-50,0,false,outer-10,false,#000000,4,true,#FFFFFF,10,38,improve,0,critical,20,75,acceptable,0,0,0,106,false,false,false,false,false,true,white,1,0,90,0,0,14,0,0,0,0,0,11,0,0,0,0,0,25,fontWeight|widthTransform,0.86,0.89,0.6,0,0.89,0,0,0,0,塗りと線の差が弱いので、塗り色か内側線のどちらかを十分に離すと文字形が読み取りやすくなります。
case-0004,metric-rules-v1.3.0,OK,,2,0,0,0,#FFFFFF,"'LINE Seed JP', sans-serif",300,60,0,-50,0,false,inner-4-outer-10,true,#000000,4,true,#FFFFFF,10,79,adjust,108,good,100,75,acceptable,108,108,0,106,false,true,false,false,true,true,white,1,0,90,0,0,14,0,0,0,0,0,11,0,0,0,0,0,25,fontWeight|widthTransform,0.86,0.89,0.6,0,0.89,0,0,0,0,文字線が細く、小サイズで欠けやすいです。フォントの太さを600〜700付近へ上げて主要な画を残してください。
case-0005,metric-rules-v1.3.0,OK,,2,0,0,0,#FFFFFF,"'LINE Seed JP', sans-serif",300,60,0,-50,0,false,inner-12-outer-25,true,#000000,12,true,#FFFFFF,25,67,improve,108,good,100,54,critical,108,108,0,106,false,true,false,false,true,true,white,1,0,90,0,0,14,0,0,14,7,0,11,0,0,0,0,0,46,fontWeight|innerStroke|widthTransform,0.86,0.92,0.6,0,0.89,0,0,0,0,文字線が細く、小サイズで欠けやすいです。フォントの太さを600〜700付近へ上げて主要な画を残してください。
case-0006,metric-rules-v1.3.0,OK,,2,0,0,0,#FFFFFF,"'LINE Seed JP', sans-serif",300,85,0,-50,0,false,none,false,#000000,4,false,#FFFFFF,10,42,improve,0,critical,20,83,good,0,0,0,106,false,false,false,false,false,false,white,1,0,90,0,0,14,0,0,0,0,0,3,0,0,0,0,0,17,fontWeight|widthTransform,1.22,1.22,0.85,0,0.33,0,0,0,0,塗りと線の差が弱いので、塗り色か内側線のどちらかを十分に離すと文字形が読み取りやすくなります。
case-0007,metric-rules-v1.3.0,OK,,2,0,0,0,#FFFFFF,"'LINE Seed JP', sans-serif",300,85,0,-50,0,false,inner-4,true,#000000,4,false,#FFFFFF,10,92,good,108,good,100,83,good,108,108,0,106,false,true,false,false,true,false,white,1,0,90,0,0,14,0,0,0,0,0,3,0,0,0,0,0,17,fontWeight|widthTransform,1.22,1.21,0.85,0,0.33,0,0,0,0,コントラストと縮小耐性のバランスが良く、色味を保ったまま十分見やすい仕上がりです。
case-0008,metric-rules-v1.3.0,OK,,2,0,0,0,#FFFFFF,"'LINE Seed JP', sans-serif",300,85,0,-50,0,false,outer-10,false,#000000,4,true,#FFFFFF,10,42,improve,0,critical,20,83,good,0,0,0,106,false,false,false,false,false,true,white,1,0,90,0,0,14,0,0,0,0,0,3,0,0,0,0,0,17,fontWeight|widthTransform,1.22,1.19,0.85,0,0.33,0,0,0,0,塗りと線の差が弱いので、塗り色か内側線のどちらかを十分に離すと文字形が読み取りやすくなります。
case-0009,metric-rules-v1.3.0,OK,,2,0,0,0,#FFFFFF,"'LINE Seed JP', sans-serif",300,85,0,-50,0,false,inner-4-outer-10,true,#000000,4,true,#FFFFFF,10,92,good,108,good,100,83,good,108,108,0,106,false,true,false,false,true,true,white,1,0,90,0,0,14,0,0,0,0,0,3,0,0,0,0,0,17,fontWeight|widthTransform,1.22,1.18,0.85,0,0.33,0,0,0,0,白系の塗りと線の分離が良く、小サイズでも視認性を保ちやすい構成です。
case-0010,metric-rules-v1.3.0,OK,,2,0,0,0,#FFFFFF,"'LINE Seed JP', sans-serif",300,85,0,-50,0,false,inner-12-outer-25,true,#000000,12,true,#FFFFFF,25,69,improve,108,good,100,62,critical,108,108,0,106,false,true,false,false,true,true,white,1,0,90,0,0,14,0,0,14,7,0,3,0,0,0,0,0,38,fontWeight|innerStroke|outerStroke,1.22,1.13,0.85,0,0.33,0,0,0,0,文字線が細く、小サイズで欠けやすいです。フォントの太さを600〜700付近へ上げて主要な画を残してください。
